Binomial,Family,Genus,Adult_habitat,Life_history,Sex_dichromatism,SVL,mass,rootmass,eyesize
Allophryne_ruthveni,Allophrynidae,Allophryne,Scansorial,Free-living larvae,Absent,23.76666667,1,0.991774825,3.2
Eupsophus_roseus,Alsodidae,Eupsophus,Ground-dwelling,Free-living larvae,Absent,38.375,7.5,1.927345095,5.3625
Alytes_obstetricans,Alytidae,Alytes,Ground-dwelling,Free-living larvae,Absent,37.46666667,6.666666667,1.869060121,6.366666667
Discoglossus_pictus,Alytidae,Discoglossus,Ground-dwelling,Free-living larvae,Absent,62.64,24.4,2.888546522,7.55
Allobates_femoralis,Aromobatidae,Allobates,Ground-dwelling,Free-living larvae,Absent,25.6,2.1,1.254969682,4.116666667
Arthroleptis_poecilonotus,Arthroleptidae,Arthroleptis,Subfossorial,No free-living larvae,Absent,27.03333333,2.466666667,1.350761266,3.783333333
Arthroleptis_variabilis,Arthroleptidae,Arthroleptis,Subfossorial,No free-living larvae,Absent,38.4,5.533333333,1.764430532,4.75
Astylosternus_montanus,Arthroleptidae,Astylosternus,Ground-dwelling,Free-living larvae,NA,47.7,14.03333333,2.391979983,6.633333333
Leptodactylodon_ovatus,Arthroleptidae,Leptodactylodon,Semiaquatic,Free-living larvae,Absent,34.56666667,5.833333333,1.750631255,4.25
Leptopelis_parkeri,Arthroleptidae,Leptopelis,Scansorial,Free-living larvae,Present,51.16666667,6.666666667,1.81996652,7.55
Nyctibates_corrugatus,Arthroleptidae,Nyctibates,Ground-dwelling,Free-living larvae,Absent,54,12.2,2.286116877,7.5
Scotobleps_gabonicus,Arthroleptidae,Scotobleps,Ground-dwelling,Free-living larvae,Absent,49.2,11.83333333,2.278270139,7.533333333
Trichobatrachus_robustus,Arthroleptidae,Trichobatrachus,Semiaquatic,Free-living larvae,Absent,120.7428571,203.4285714,5.77248706,12.57142857
Ascaphus_truei,Ascaphidae,Ascaphus,Semiaquatic,Free-living larvae,Absent,38.95,6,1.809268122,5.5875
Batrachyla_leptopus,Batrachylidae,Batrachyla,Ground-dwelling,Free-living larvae,Absent,27.03333333,2,1.234056873,4.016666667
Batrachyla_taeniata,Batrachylidae,Batrachyla,Ground-dwelling,Free-living larvae,Absent,29.675,2.75,1.387373181,4.425
Barbourula_busuangensis,Bombinatoridae,Barbourula,Aquatic,NA,Absent,59.475,24.25,2.733102465,8.2375
Bombina_microdeladigitora,Bombinatoridae,Bombina,Semiaquatic,Free-living larvae,Absent,76.6,51.25,3.706256274,8.675
Bombina_orientalis,Bombinatoridae,Bombina,Semiaquatic,Free-living larvae,Absent,42.76666667,5.333333333,1.740547413,5.7
Brachycephalus_ephippium,Brachycephalidae,Brachycephalus,Subfossorial,No free-living larvae,Absent,16.3,0.833333333,0.93874059,2.4
Ischnocnema_parva,Brachycephalidae,Ischnocnema,Subfossorial,No free-living larvae,NA,19.64,1.05,1.016396357,2.375
Breviceps_mossambicus,Brevicipitidae,Breviceps,Subfossorial,No free-living larvae,Absent,39.85,10.1,2.15297908,4.625
Callulina_kreffti,Brevicipitidae,Callulina,Scansorial,No free-living larvae,Absent,28.73333333,2.833333333,1.40884111,3.933333333
Probreviceps_loveridgei,Brevicipitidae,Probreviceps,Subfossorial,No free-living larvae,Absent,43.06666667,10.43333333,2.12178802,4.533333333
Spelaeophryne_methneri,Brevicipitidae,Spelaeophryne,Subfossorial,NA,Absent,38.16666667,5.433333333,1.706811568,2.716666667
Adenomus_kelaartii,Bufonidae,Adenomus,Subfossorial,Free-living larvae,Absent,41.35,6.35,1.851673064,4.65
Altiphrynoides_osgoodi,Bufonidae,Altiphrynoides,Ground-dwelling,Free-living larvae,Absent,43.5,8.066666667,1.981001301,4.6
Anaxyrus_cognatus,Bufonidae,Anaxyrus,Ground-dwelling,Free-living larvae,Absent,53.43333333,23.13333333,2.840184263,8.116666667
Anaxyrus_punctatus,Bufonidae,Anaxyrus,Ground-dwelling,Free-living larvae,Absent,49.36666667,11.16666667,2.207131947,6.083333333
Atelopus_senex,Bufonidae,Atelopus,Ground-dwelling,Free-living larvae,Present,28.03333333,1.533333333,1.15301186,3.6
Bufo_bufo,Bufonidae,Bufo,Ground-dwelling,Free-living larvae,Present,71.4,53.1,3.553428952,8.333333333
Bufotes_viridis,Bufonidae,Bufotes,Ground-dwelling,Free-living larvae,Present,60.4,25.73333333,2.897255597,7.933333333
